

"項目","現金預金","収入","支出",
"繰越金","267895","-","-",
"売上高","-","85635","-",
"材料調達費","-","-","44000",
"製品製造費","-","-","12000",
"一般管理費","-","-","20000",
"支払利息","-","-","0",
"借入金","-","0","-",
"現金収支","9635","-","-",
"次期繰越金","277530","-","-",


"売上高","85635",
"売上原価","55000",
"売上総利益","30635",
"一般管理費","20000",
"営業利益","10635",
"支払利息","0",
"経常利益","10635",


"現金貯金","277530",
"棚卸資産","92000",
"固定資産","250000",
"資産合計","619530",


"流動負債","0",
"資本金","500000",
"剰余金","119530",
"負債純資産合計","619530",


