

"Team:","01","02","03","04","05","06","07","08","09","10",
"販売価格","1000","1000","1000","1000","850","900","882","900","1000","1000",
"材料費","450","400","450","400","340","400","582","400","450","400",
"広告費","17000","10000","10000","20000","10000","8500","17000","15000","10000","10000",
"来店客数","143","127","130","146","140","134","162","146","130","102",
"売上高","143000","127000","130000","146000","119000","120600","142884","131400","130000","102000",


