

"Team:","01","02","03","04","05","06","07","08","09","10",
"販売価格","860","950","1000","1000","1000","850","907","950","950","1000",
"材料費","400","300","400","450","400","400","507","450","450","400",
"広告費","17000","15000","10000","16000","10000","7500","17000","15000","10000","10000",
"来店客数","169","59","140","155","112","151","170","158","148","140",
"売上高","145340","56050","140000","155000","112000","128350","154190","150100","140600","140000",


