

"Team:","01","02","03","04","05","06","07","08","09","10",
"販売価格","1000","1000","1000","1000","875","925","1000","990","950","1000",
"材料費","430","400","450","400","350","400","450","380","500","400",
"広告費","20000","15000","15000","26000","0","12000","20000","25000","20000","16000",
"来店客数","130","122","125","136","113","125","131","135","138","124",
"売上高","130000","122000","125000","136000","98875","115625","131000","133650","131100","124000",


