

"Team:","01","02","03","04","05","06","07","08","09","10",
"販売価格","960","850","950","750","1000","850","950","600","950","700",
"材料費","450","400","450","400","400","400","450","300","500","300",
"広告費","30000","25000","10000","15000","10000","10000","15000","15000","15000","10000",
"来店客数","157","157","126","154","119","133","134","175","137","148",
"売上高","150720","133450","119700","115500","119000","113050","127300","105000","130150","103600",


